Category,Service,Typical Price Range
Labour,Painter/Decorator Day Rate,£150–£325 per day
Labour,Painter/Decorator Average Day Rate,£150–£250 per day
Labour,Painter/Decorator Hourly Rate,£20–£40 per hour
Painting Interior,Single Room (Medium),£350–£750
Painting Interior,Large Room,"£600–£1,000"
Painting Interior,2-Bed Flat,"£1,200–£2,000"
Painting Interior,3-Bed House,"£2,000–£3,500"
Painting Interior,Bedroom,£150–£400
Painting Interior,Living Room,£250–£500
Painting Interior,Hall & Stairs,£300–£600
Painting Exterior,3-Bed Semi,"£1,500–£3,000"
Painting Exterior,Detached House,"£2,200–£4,500"
Painting Exterior,Large House,"£3,500–£6,000"
Painting Exterior,Front Wall Only,£400–£800
Painting Exterior,Scaffolding,"£400–£2,500"
Per m² Rates,Interior Painting,£8–£15 per m²
Per m² Rates,Exterior Painting,£10–£20 per m²
Plastering,Skimming,£10–£25 per m²
Plastering,Full Room,£300–£800
Rendering,Sand & Cement,£30–£50 per m²
Rendering,Silicone/Acrylic,£55–£80 per m²
Woodwork,Door Painting,£60–£100
Woodwork,Skirting Boards (per room),£50–£120
Woodwork,Window Frame,£40–£80
Wallpapering,Feature Wall,£150–£400
Wallpapering,Full Room,£300–£800
Flooring,Floor Sanding & Finishing,£20–£65 per m²
